Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Precipitation(mm),Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Logistics_Delay
20-03-2024 00:11,Truck_7,-65.7383,11.2497,390,Delayed,27,67.8,10.02347476,Detour,38,320,4,,60.1,285,1
30-10-2024 07:53,Truck_6,22.2748,-131.7086,491,In Transit,22.5,54.3,21.39759936,Heavy,16,439,7,Weather,80.9,174,1
29-07-2024 18:42,Truck_10,54.9232,79.5455,190,In Transit,25.2,62.2,14.52053489,Detour,34,355,3,,99.2,260,0
28-10-2024 00:50,Truck_9,42.39,-1.4788,330,Delivered,25.4,52.3,2.613761322,Heavy,37,227,5,Traffic,97.4,160,1
27-09-2024 15:52,Truck_7,-65.8477,47.9468,480,Delayed,20.5,57.2,35.41258566,Clear,56,197,6,,71.6,270,1
17-09-2024 06:02,Truck_7,73.3312,46.5831,118,In Transit,24.3,61.8,9.060740571,Clear,56,258,10,,66.8,189,0
05-02-2024 08:38,Truck_4,27.9307,147.5317,480,Delayed,20.7,75.4,6.03554437,Clear,32,263,3,,73.3,198,1
28-09-2024 09:08,Truck_9,46.5643,-126.5348,222,In Transit,23.3,64.2,7.485363893,Detour,30,459,9,Traffic,73.8,253,0
18-01-2024 08:27,Truck_9,-83.6737,-31.7125,245,Delivered,26.4,77.2,10.7366459,Clear,14,183,2,,69.6,206,0
09-11-2024 00:48,Truck_2,54.1683,-135.2676,389,In Transit,21.9,57.3,35.54852224,Clear,52,127,7,Mechanical Failure,63.1,224,0
09-01-2024 23:19,Truck_9,82.9633,-154.5274,319,Delayed,22,53.5,39.72920194,Clear,28,360,4,,69.8,171,1
02-02-2024 22:28,Truck_10,-25.2768,156.1262,234,Delivered,29.7,63.6,10.65357866,Detour,13,406,10,Traffic,85.5,238,0
17-02-2024 21:14,Truck_8,-65.526,-3.0202,154,In Transit,21.5,74.2,8.505430215,Detour,38,215,3,Weather,84.4,114,0
04-03-2024 06:44,Truck_2,-26.1836,-30.3641,348,Delivered,27.3,71.6,12.74015677,Detour,30,211,2,,96.4,115,0
28-08-2024 12:19,Truck_3,2.6709,-80.8879,163,In Transit,25.1,76.8,12.5637166,Heavy,54,320,5,Weather,93.2,231,1
04-01-2024 22:52,Truck_5,-22.4793,-54.5143,130,Delayed,23.7,68.1,5.456550823,Clear,45,487,4,Traffic,84.1,256,1
30-10-2024 17:52,Truck_4,-34.5353,-40.8617,391,Delayed,21.6,72.5,6.579967514,Clear,58,298,7,Traffic,61.5,170,1
15-07-2024 15:42,Truck_7,-8.7105,-17.8347,344,Delayed,21.4,53.5,34.82147244,Detour,23,461,9,,93.4,106,1
19-01-2024 06:42,Truck_5,14.6629,116.0696,409,Delayed,27.5,66.6,14.26978047,Detour,29,492,3,,72.6,204,1
28-04-2024 21:23,Truck_10,75.7743,108.9425,457,In Transit,25.5,75.9,10.7471523,Clear,21,315,3,Traffic,83.4,248,0
06-03-2024 20:00,Truck_5,50.3419,108.5647,207,Delivered,29.3,59.4,2.508536339,Detour,31,174,5,Mechanical Failure,65.9,195,0
20-11-2024 16:38,Truck_8,-6.6729,132.6727,155,Delivered,19.4,53.2,31.71491631,Heavy,20,152,1,Mechanical Failure,99.3,235,1
07-01-2024 09:13,Truck_6,-74.1751,-102.7331,314,Delivered,19.9,64.8,5.215959212,Detour,57,396,10,Weather,78.6,135,0
25-09-2024 15:12,Truck_10,-33.2264,169.6187,156,In Transit,27.2,74.4,14.82279255,Clear,35,354,2,Weather,63.1,282,0
11-02-2024 13:30,Truck_2,-34.4469,93.1585,119,In Transit,28.1,72.4,10.07878595,Detour,41,176,2,,60.9,238,0
20-11-2024 11:22,Truck_3,-13.511,141.8454,112,In Transit,19.7,76.6,9.285375283,Detour,22,121,3,Traffic,80.9,262,0
25-06-2024 02:26,Truck_3,-22.427,108.2306,435,Delivered,25.8,78.6,14.6925804,Heavy,22,220,7,Traffic,90.8,101,1
